Tray,Row#,Sample,Weight(mg),SampleType,PlantType
3,a1,56,3.347,Extra,Fixer
3,a2,92,3.374,Extra,Fixer
3,a3,10,3.512,Extra,Fixer
3,a4,156,3.413,Extra,Fixer
3,a5,92,4.338,Sample,Fixer
3,a6,17,3.844,Sample,Fixer
3,a7,239,3.57,Sample,Fixer
3,a8,117,3.867,Sample,Fixer
3,a9,167,3.723,Sample,Fixer
3,a10,100a,3.683,Sample,Fixer
3,a11,100b,3.985,Duplicate,Fixer
3,a12,89,3.98,Sample,Fixer
3,b1,43,3.651,Sample,Fixer
3,b2,32,3.48,Sample,Fixer
3,b3,52,3.769,Sample,Fixer
3,b4,86,3.461,Sample,Fixer
3,b5,91,3.583,Sample,Fixer
3,b6,118,3.404,Sample,Fixer
3,b7,124a,3.562,Sample,Fixer
3,b8,124b,3.537,Duplicate,Fixer
3,b9,146,3.494,Sample,Fixer
3,b10,14,3.452,Sample,Fixer
3,b11,140,3.425,Sample,Fixer
3,b12,10,3.591,Sample,Fixer
3,c1,13,3.664,Sample,Fixer
3,c2,70,3.584,Sample,Fixer
3,c3,53,3.199,Sample,Fixer
3,c4,109,3.648,Sample,Fixer
3,c5,276,3.519,Sample,Fixer
3,c6,37a,3.616,Sample,Fixer
3,c7,37b,3.728,Sample,Fixer
3,c8,186,3.459,Sample,Fixer
3,c9,88,3.705,Sample,Fixer
3,c10,62,3.52,Sample,Fixer
3,c11,156,4.1,Sample,Fixer
3,c12,152,3.288,Sample,Fixer
3,d1,113,4.586,Sample,Fixer
3,d2,144,3.206,Sample,Fixer
3,d3,272,3.513,Sample,Fixer
3,d4,80,3.712,Sample,Fixer
3,d5,177a,3.303,Sample,Fixer
3,d6,177b,3.411,Duplicate,Fixer
3,d7,191,3.748,Sample,Fixer
3,d8,161,3.624,Sample,Fixer
3,d9,76,3.267,Sample,Fixer
3,d10,25,3.348,Sample,Fixer
3,d11,222,3.503,Sample,Fixer
3,d12,67,3.762,Sample,Fixer
3,e1,19,3.515,Sample,Fixer
3,e2,111,3.79,Sample,Fixer
3,e3,259,3.571,Sample,Fixer
3,e4,176,3.33,Sample,Fixer
3,e5,189,3.775,Sample,Fixer
3,e6,55,3.046,Sample,Fixer
3,e7,131,3.049,Sample,Fixer
3,e8,219a,3.408,Sample,Fixer
3,e9,219b,3.57,Duplicate,Fixer
3,e10,5,3.877,Sample,Fixer
3,e11,33,3.287,Sample,Fixer
3,e12,254,3.195,Sample,Fixer
3,f1,1,3.738,Sample,Fixer
3,f2,139,3.754,Sample,Fixer
3,f3,97,3.409,Sample,Fixer
3,f4,22,3.387,Sample,Fixer
3,f5,185,3.733,Sample,Fixer
3,f6,40,3.294,Sample,Fixer
3,f7,77,3.381,Sample,Fixer
3,f8,173a,3.266,Sample,Fixer
3,f9,173b,3.575,Duplicate,Fixer
3,f10,153,3.109,Sample,Fixer
3,f11,163,3.371,Sample,Fixer
3,f12,103,3.291,Sample,Fixer
3,g1,110,3.258,Sample,Fixer
3,g2,164,3.749,Sample,Fixer
3,g3,240,2.927,Sample,Fixer
3,g4,51,3.817,Sample,Fixer
3,g5,61,2.84,Sample,Fixer
3,g6,121,3.132,Sample,Fixer
3,g7,90,3.118,Sample,Fixer
3,g8,3a,3.518,Sample,Fixer
3,g9,3b,3.667,Duplicate,Fixer
3,g10,8,3.982,Sample,Fixer
3,g11,220,3.068,Sample,Fixer
3,g12,27,3.247,Sample,Fixer
3,h1,66,3.745,Sample,Fixer
3,h2,106,3.626,Sample,Fixer
3,h3,178,2.852,Sample,Fixer
3,h4,248,3.13,Sample,Fixer
3,h5,6,3.925,Sample,Fixer
3,h6,78,2.986,Sample,Fixer
3,h7,147,3.065,Sample,Fixer
3,h8,9,3.66,Sample,Fixer
3,h9,69,3.652,Sample,Fixer
3,h10,251,3.62,Sample,Fixer
3,h11,155,3.129,Sample,Fixer
3,h12,136,3.56,Sample,Fixer
1,a1,20a,3.129,Sample,Fixer
1,a2,20b,4.002,Duplicate,Fixer
1,a3,171,3.824,Sample,Fixer
1,a4,127,3.322,Sample,Fixer
1,a5,231,3.017,Sample,Fixer
1,a6,48,3.918,Sample,Fixer
1,a7,282,4.024,Sample,Fixer
1,a8,99,4.094,Sample,Fixer
1,a9,183,3.57,Sample,Fixer
1,a10,24,3.822,Sample,Fixer
1,a11,160,3.211,Sample,Fixer
1,a12,134,3.984,Sample,Fixer
1,b1,41a,3.602,Sample,Fixer
1,b2,41b,4.133,Duplicate,Fixer
1,b3,203,3.595,Sample,Fixer
1,b4,129,3.577,Sample,Fixer
1,b5,98,4.091,Sample,Fixer
1,b6,59,2.994,Sample,Fixer
1,b7,192,4.063,Sample,Fixer
1,b8,28,3.187,Sample,Fixer
1,b9,214,3.383,Sample,Fixer
1,b10,7,3.941,Sample,Fixer
1,b11,204,2.879,Sample,Fixer
1,b12,35,3.561,Sample,Fixer
1,c1,58,3.986,Sample,Fixer
1,c2,123,3.969,Sample,Fixer
1,c3,104,4.098,Sample,Fixer
1,c4,42,2.948,Sample,Fixer
1,c5,260,3.49,Sample,Fixer
1,c6,29,3.858,Sample,Fixer
1,c7,157,3.942,Sample,Fixer
1,c8,71,3.374,Sample,Fixer
1,c9,148,3.168,Sample,Fixer
1,c10,54,3.778,Sample,Fixer
1,c11,288,2.931,Sample,Fixer
1,c12,74a,3.51,Sample,Fixer
1,d1,74b,3.89,Duplicate,Fixer
1,d2,73,3.795,Sample,Fixer
1,d3,11,3.325,Sample,Fixer
1,d4,227,3.724,Sample,Fixer
1,d5,175,3.218,Sample,Fixer
1,d6,253,3.977,Sample,Fixer
1,d7,31,4.055,Sample,Fixer
1,d8,206,3.737,Sample,Fixer
1,d9,201,4.092,Sample,Fixer
1,d10,170,3.387,Sample,Fixer
1,d11,133,3.8,Sample,Fixer
1,d12,63,3.71,Sample,Fixer
1,e1,23,3.012,Sample,Fixer
1,e2,212,3.931,Sample,Fixer
1,e3,114,4.051,Sample,Fixer
1,e4,16,3.405,Sample,Fixer
1,e5,258a,3.751,Sample,Fixer
1,e6,258b,3.912,Duplicate,Fixer
1,e7,287,3.759,Sample,Fixer
1,e8,184,2.96,Sample,Fixer
1,e9,197,3.526,Sample,Fixer
1,e10,102,4.112,Sample,Fixer
1,e11,209,2.835,Sample,Fixer
1,e12,213,3.849,Sample,Fixer
1,f1,46,3.543,Sample,Fixer
1,f2,112a,3.334,Sample,Fixer
1,f3,112b,3.213,Duplicate,Fixer
1,f4,199,3.423,Sample,Fixer
1,f5,26,3.308,Sample,Fixer
1,f6,271,3.408,Sample,Fixer
1,f7,108,3.48,Sample,Fixer
1,f8,47,3.314,Sample,Fixer
1,f9,271,3.43,Sample,Fixer
1,f10,60,3.259,Sample,Fixer
1,f11,194,3.54,Sample,Fixer
1,f12,49,3.384,Sample,Fixer
1,g1,172,3.447,Sample,Fixer
1,g2,122,3.387,Sample,Fixer
1,g3,72,3.659,Sample,Fixer
1,g4,50a,3.644,Sample,Fixer
1,g5,50b,3.265,Duplicate,Fixer
1,g6,68,3.794,Sample,Fixer
1,g7,2,3.568,Sample,Fixer
1,g8,61,3.628,Sample,Fixer
1,g9,162,3.649,Sample,Fixer
1,g10,39,3.716,Sample,Fixer
1,g11,96,3.546,Sample,Fixer
1,g12,57,3.588,Sample,Fixer
1,h1,270,3.486,Sample,Fixer
1,h2,other,3.479,Sample,Nonfixer-Forb
1,h3,blank1,17.384,Blank,NA
1,h4,blank2,17.836,Blank,NA
1,h5,blank3,17.655,Blank,NA
1,h6,blank4,17.437,Blank,NA
1,h7,blank5,18.352,Blank,NA
1,h8,blank6,17.488,Blank,NA
1,h9,blank7,17.544,Blank,NA
1,h10,blank8,18.06,Blank,NA
1,h11,blank9,17.632,Blank,NA
1,h12,blank10,17.454,Blank,NA
2,a1,standard1,1.525,Standard,NA
2,a2,standard2,1.232,Standard,NA
2,a3,standard3,1.872,Standard,NA
2,a4,standard4,1.245,Standard,NA
2,a5,standard5,1.237,Standard,NA
2,a6,standard6,1.243,Standard,NA
2,a7,standard7,1.389,Standard,NA
2,a8,standard8,1.618,Standard,NA
2,a9,standard9,1.875,Standard,NA
2,a10,standard10,1.415,Standard,NA
2,a11,standard11,1.182,Standard,NA
2,a12,standard12,1.847,Standard,NA
2,b1,standard13,1.978,Standard,NA
2,b2,standard14,1.245,Standard,NA
2,b3,standard15,1.533,Standard,NA
2,b4,standard16,1.211,Standard,NA
2,b5,standard17,1.477,Standard,NA
2,b6,standard18,1.856,Standard,NA
2,b7,standard19,1.386,Standard,NA
2,b8,standard20,1.284,Standard,NA
2,b9,standard21,1.731,Standard,NA
2,b10,standard22,1.334,Standard,NA
2,b11,standard23,1.387,Standard,NA
2,b12,standard24,1.449,Standard,NA
2,c1,standard25,1.977,Standard,NA
2,c2,standard26,1.03,Standard,NA
2,c3,standard27,1.685,Standard,NA
2,c4,standard28,1.449,Standard,NA
2,c5,standard29,1.101,Standard,NA
2,c6,standard30,1.21,Standard,NA
2,c7,standard31,1.889,Standard,NA
2,c8,standard32,2.009,Standard,NA
2,c9,standard33,1.854,Standard,NA
2,c10,standard34,1.42,Standard,NA
2,c11,standard35,1.294,Standard,NA
2,c12,standard36,1.748,Standard,NA
2,d1,standard37,1.726,Standard,NA
2,d2,standard38,1.604,Standard,NA
2,d3,standard39,1.543,Standard,NA
2,d4,standard40,1.413,Standard,NA
2,d5,standard41,1.883,Standard,NA
2,d6,standard42,1.876,Standard,NA
2,d7,standard43,1.511,Standard,NA
2,d8,standard44,1.304,Standard,NA
2,d9,standard45,1.182,Standard,NA