"plant","num_leaf_segments","num_uninfected","perc_infected","blackSpore","Undifilum","unk_infections","notAlfuInfected","morphospecies_not_counting_Undifilum","notes","startCulturedate","endCultureDate","Height","Width","Length","Flowering.","Weight.mg.","d15N....vs..air.","wt...N","d13C....vs..VPDB.","wt...C","percN","percC","m1","m2","m3","a1","a2","a3","m4","a4","X","treament","status","DateFlowering","DateFruiting","width","height","length","vol","X.Fl_Stems_atCollectionTime","X.Fl_stemsEndOfYear","X.LeavesCollection","X.LeavesEndofYear","lvs_with_herbivory","lvs_with_fungus","blackdotFungusPresence","leafarea_avg","sla_1","sla_2","sla_3","sla_4","sla_avg","ndfa","tube_before","tube_after","sample_mg","Calculated.amount","top","bottom","X..Swainsonine","treatment_failed"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,20,19,"",3.738,1.53,3.09,-30.14,42.47,0.826645264847512,11.3616907437132,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treated_plus","good",NA,NA,19,12,14,NA,NA,NA,15,NA,0,NA,"",NA,NA,NA,NA,NA,NA,48.5215053763441,1285.68,1324.16,38.48,"NF","#VALUE!",7696,0,"no"
2,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,9,8,"",3.568,2.17,2.86,-29.83,43.88,0.801569506726457,12.2982062780269,3.22,3.6,3.57,0.38,0.411,0.374,NA,NA,"","treated_plus","good",NA,NA,8,7,7,NA,NA,NA,3,NA,NA,NA,"",0.54125,0.118012422360248,0.114166666666667,0.104761904761905,NA,0.112313664596273,39.9193548387097,1312.32,1357.3,44.98,"NF","#VALUE!",8996,0,"no"
3,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",7,11,9,"",NA,2.285,NA,-30.065,NA,0.679600474586036,12.0494882138732,4.39,3.74,3.81,0.429,0.487,0.477,NA,NA,"","untreated_neg","good",NA,NA,13,7,7,NA,NA,NA,6,NA,NA,NA,"",0.59825,0.0977220956719818,0.130213903743315,0.125196850393701,NA,0.117710949936333,38.3736559139785,1297.99,1337.58,39.59,"0.031","0.04625946",7918,0.001,"no"
4,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",26,54,51,"y",NA,NA,NA,NA,NA,NA,NA,2.6,4.32,4.12,0.377,0.355,0.453,NA,NA,"","untreated_neg","good",NA,NA,50,16,36,NA,5,NA,128,NA,4,20,"",0.54625,0.145,0.0821759259259259,0.10995145631068,NA,0.112375794078869,NA,NA,NA,NA,NA,NA,NA,NA,"no"
5,10,10,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,18,11,"",3.877,1.81,2.46,-29.94,43.09,0.634511220015476,11.1142636058808,4.25,3.71,3.57,0.374,0.349,0.446,NA,NA,"","untreated_plus","good",NA,NA,15,10,13,NA,NA,NA,8,NA,2,1,"",0.54225,0.088,0.0940700808625337,0.124929971988796,NA,0.102333350950443,44.758064516129,1249.83,1303.69,53.86,"0.022","0.03264424",10772,0,"no"
6,15,15,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",12,24,20,"",3.925,1.38,1.91,-30.81,40.3,0.486624203821656,10.2675159235669,2.96,5.47,NA,0.247,0.504,NA,NA,NA,"","untreated_plus","good",NA,NA,17,10,17,NA,NA,NA,16,NA,2,4,"",NA,0.0834459459459459,0.0921389396709324,NA,NA,0.0877924428084391,50.5376344086022,1311.83,1353.58,41.75,"NF","#VALUE!",8350,0,"no"
7,15,15,0,NA,0,NA,0,0,"","9/16/17","10/28/17",8,18,15,"",3.941,1.66,2.99,-29.51,43.53,0.75869068764273,11.0454199441766,2.3,3.43,3.16,0.238,0.324,0.423,NA,NA,"","treated_neg","good",NA,NA,15,11,14,NA,NA,NA,7,NA,1,3,"",0.49625,0.103478260869565,0.0944606413994169,0.133860759493671,NA,0.110599887254218,46.7741935483871,1298.04,1348.91,50.87,"NF","#VALUE!",10174,0,"no"
8,11,8,0.272727273,NA,3,NA,0,NA,"white fuzzy","9/16/17","10/28/17",8,10,8,"",3.982,2.27,3.58,-29.94,44.92,0.89904570567554,11.2807634354596,1.98,2.58,2.38,0.215,0.248,0.201,NA,NA,"","untreated_plus","good",NA,NA,10,7,9,NA,NA,NA,3,NA,0,0,"",0.416,0.108585858585859,0.0961240310077519,0.084453781512605,NA,0.0963878903687385,38.5752688172043,1321.3,1346.39,25.09,"1.554","2.33091772",5018,0.046,"no"
9,16,16,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,20,17,"",3.66,0.54,2.3,-30.53,32.82,0.628415300546448,8.9672131147541,2.37,3.4,4.2,0.274,0.353,0.471,NA,NA,"","treated_plus","good",NA,NA,16,11,16,NA,NA,NA,18,NA,2,9,"",0.5245,0.115611814345992,0.103823529411765,0.112142857142857,NA,0.110526066966871,61.8279569892473,1303.99,1342.46,38.47,"NF","#VALUE!",7694,0,"no"
10,15,15,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",13,43,41,"y",3.591,3.67,3.79,-30.19,42.94,1.05541631857421,11.957671957672,3.42,6.38,6.91,0.384,0.653,0.633,NA,NA,"","treated_neg","good",NA,NA,39,15,32,NA,NA,NA,63,NA,NA,11,"",0.6675,0.112280701754386,0.102351097178683,0.0916063675832127,NA,0.102079388838761,19.758064516129,1250.05,1308.65,58.6,"NF","#VALUE!",11720,0,"no"
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,6,"",3.325,3.42,6.53,-30.09,49.42,1.96390977443609,14.8631578947368,3.02,1.94,2.91,0.306,0.234,0.304,NA,NA,"","controlplus","good",NA,NA,9,8,7,NA,NA,NA,2,NA,NA,NA,"",0.461,0.101324503311258,0.120618556701031,0.10446735395189,NA,0.108803471321393,23.1182795698925,1297.68,1338.59,40.91,"3.121","4.68115966",8182,0.057,"no"
12,23,23,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",12,31,30,"",NA,NA,NA,NA,NA,NA,NA,3.21,2.71,2.22,0.477,0.351,0.262,NA,NA,"","treated_neg","good",NA,NA,26,10,19,NA,NA,NA,34,NA,NA,11,"",0.5225,0.148598130841122,0.129520295202952,0.118018018018018,NA,0.132045481354031,NA,NA,NA,NA,NA,NA,NA,NA,"no"
13,13,13,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",9,24,24,"",3.664,1.1,2.93,-29.46,44.03,0.799672489082969,12.0169213973799,1.76,2.22,2.37,0.218,0.271,0.228,NA,NA,"","treated_neg","good",NA,NA,24,11,17,NA,NA,NA,32,NA,NA,8,"",0.42925,0.123863636363636,0.122072072072072,0.0962025316455696,NA,0.114046080027093,54.3010752688172,1285.4,1328.16,42.76,"NF","#VALUE!",8552,0,"no"
14,13,13,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",13,48,43,"",3.452,-0.51,4.67,-29.87,44.89,1.35283893395133,13.0040556199305,5.04,2.7,4.02,0.418,0.36,0.604,NA,NA,"","untreated_neg","good",NA,NA,45,19,42,NA,NA,NA,64,NA,NA,10,"",0.5955,0.0829365079365079,0.133333333333333,0.150248756218905,NA,0.122172865829582,75.9408602150538,1298.07,1325.39,27.32,"NF","#VALUE!",5464,0,"no"
15,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",12,30,29,"",NA,NA,NA,NA,NA,NA,NA,4.49,3.12,3.32,0.503,0.386,0.348,NA,NA,"","controlNeg","good",NA,NA,28,17,22,NA,NA,NA,38,NA,3,10,"",0.55925,0.112026726057906,0.123717948717949,0.104819277108434,NA,0.113521317294763,NA,NA,NA,NA,NA,NA,NA,NA,"no"
16,12,11,0.083333333,NA,0,1,1,1,"","9/16/17","10/28/17",16,28,25,"",3.405,0.78,1.97,-29.84,40.8,0.57856093979442,11.9823788546255,2.66,2.27,3.02,0.377,0.324,0.43,NA,NA,"","treated_controlplus","good",NA,NA,25,17,24,NA,NA,NA,46,NA,2,11,"",0.53275,0.141729323308271,0.14273127753304,0.142384105960265,NA,0.142281568933858,58.6021505376344,1240.74,1289.21,48.47,"NF","#VALUE!",9694,0,"no"
17,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",6,26,23,"",3.844,1.38,3.49,-29.79,42.39,0.907908428720083,11.0275754422477,2.31,2.46,1.69,0.372,0.336,0.245,NA,NA,"","controlNeg","good",NA,NA,24,13,22,NA,NA,NA,21,NA,NA,7,"",0.48825,0.161038961038961,0.136585365853659,0.144970414201183,NA,0.147531580364601,50.5376344086022,1249.46,1291.65,42.19,"NF","#VALUE!",8438,0,"no"
18,11,11,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",9,24,23,"",NA,NA,NA,NA,NA,NA,NA,2.7,2.6,2.49,0.366,0.272,0.265,NA,NA,"","controlNeg","good",NA,NA,24,13,21,NA,NA,NA,34,NA,1,15,"",0.47575,0.135555555555556,0.104615384615385,0.106425702811245,NA,0.115532214327395,NA,NA,NA,NA,NA,NA,NA,NA,"no"
19,16,16,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,16,16,"",3.515,1.26,2.5,-29.43,43.23,0.711237553342816,12.298719772404,4.31,2.63,4.93,0.539,0.282,0.569,NA,NA,"","controlplus","good",NA,NA,17,10,15,NA,NA,NA,9,NA,NA,NA,"",0.5975,0.125058004640371,0.10722433460076,0.115415821501014,NA,0.115899386914049,52.1505376344086,1250.18,1286.99,36.81,"3.123","4.68425172",7362,0.064,"no"
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,37,33,"",NA,3.26,NA,-29.735,NA,0.786560219410908,12.2498793747901,3.62,2.71,5.91,0.457,0.336,0.769,NA,NA,"","treated_controlneg","good",NA,NA,37,17,30,NA,NA,NA,52,NA,2,16,"",0.6405,0.126243093922652,0.123985239852399,0.130118443316413,NA,0.126782259030488,25.2688172043011,1233.63,1277.05,43.42,"0.110","0.16448795",8684,0.002,"no"
21,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",16,26,26,"",NA,NA,NA,NA,NA,NA,NA,2.16,1.9,1.98,0.221,0.27,0.293,NA,NA,"","untreated_neg","good",NA,NA,17,15,17,NA,NA,NA,28,NA,NA,11,"yes",0.446,0.102314814814815,0.142105263157895,0.147979797979798,NA,0.130799958650836,NA,1217.43,1272.53,55.1,"NF","#VALUE!",11020,0,"no"
22,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,14,12,"",3.387,1.16,2.8,-29.22,43.3,0.826690286389135,12.7841747859463,1.67,1.88,2.51,0.298,0.338,0.398,NA,NA,"","untreated_plus","good",NA,NA,13,11,12,NA,NA,NA,6,NA,NA,2,"",0.5085,0.178443113772455,0.179787234042553,0.158565737051793,NA,0.172265361622267,53.494623655914,1240.69,1292.91,52.22,"NF","#VALUE!",10444,0,"no"
23,11,11,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",14,40,39,"",3.012,3.9,3.77,-29.82,42.41,1.25166002656042,14.0803452855246,2.21,2.08,3.38,0.289,0.343,0.378,NA,NA,"","untreated_plus","good",NA,NA,31,15,27,NA,NA,NA,41,NA,2,12,"",0.5025,0.130769230769231,0.164903846153846,0.111834319526627,NA,0.135835798816568,16.6666666666667,1303.69,1344.12,40.43,"NF","#VALUE!",8086,0,"no"
24,9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,22,21,"",3.822,1.61,1.96,-29.66,41.85,0.512820512820513,10.9497645211931,1.94,2.87,3.1,0.31,0.322,0.446,NA,NA,"","treated_neg","good",NA,NA,24,12,19,NA,NA,NA,24,NA,NA,14,"yes",0.5195,0.15979381443299,0.11219512195122,0.143870967741935,NA,0.138619968042048,47.4462365591398,1250.05,1303.98,53.93,"NF","#VALUE!",10786,0,"no"
25,10,8,0.2,NA,0,2,2,1,"white fuzzy","9/16/17","10/28/17",8,17,14,"",3.348,0.69,2.4,-30.14,43.19,0.716845878136201,12.900238948626,4.09,2.94,3.65,0.566,0.317,0.506,NA,NA,"","untreated_plus","good",NA,NA,15,10,13,NA,NA,NA,5,NA,NA,3,"",0.59725,0.13838630806846,0.107823129251701,0.138630136986301,NA,0.128279858102154,59.8118279569892,1311.81,1366.03,54.22,"4.297","6.44535512",10844,0.059,"no"
26,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,23,22,"",3.308,1.05,2.67,-30.17,41.97,0.807134220072551,12.6874244256348,1.94,2.09,2.16,0.348,0.266,0.388,NA,NA,"","untreated_plus","good",NA,NA,25,10,24,NA,NA,NA,24,NA,1,NA,"",0.5005,0.179381443298969,0.127272727272727,0.17962962962963,NA,0.162094600067109,54.9731182795699,1250.01,1283.93,33.92,"NF","#VALUE!",6784,0,"no"
27,11,11,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",9,18,14,"",3.247,1.1,2.99,-29.67,42.3,0.92085001539883,13.0274099168463,3.38,3.19,4.73,0.329,0.399,0.578,NA,NA,"","treated_neg","good",NA,NA,14,12,12,NA,NA,NA,7,NA,2,NA,"",0.5765,0.0973372781065089,0.125078369905956,0.122198731501057,NA,0.114871459837841,54.3010752688172,1285.6,1333.67,48.07,"0.031","0.04677860",9614,0,"no"
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,10,"",3.187,0.58,2.35,-31.17,43.06,0.737370567932225,13.5111390021964,2.18,1.53,2.82,0.298,0.233,0.396,NA,NA,"","treated_plus","good",NA,NA,11,10,11,NA,NA,NA,5,NA,NA,NA,"",0.48175,0.136697247706422,0.152287581699346,0.140425531914894,NA,0.143136787106887,61.2903225806452,1297.46,1346.61,49.15,"3.346","5.01913573",9830,0.051,"no"
29,15,15,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",9,19,15,"",3.858,1.12,2.61,-30.25,43.82,0.67651632970451,11.3582166925868,2.04,3.1,3.33,0.327,0.37,0.412,NA,NA,"Distance in pixels: 321","treated_plus","good",NA,NA,16,10,13,NA,NA,NA,10,NA,NA,2,"",0.52725,0.160294117647059,0.119354838709677,0.123723723723724,NA,0.13445756002682,54.0322580645161,1249.58,1297.77,48.19,"NF","#VALUE!",9638,0,"no"
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,"",NA,NA,NA,NA,NA,NA,NA,2.93,4.16,2.62,0.316,0.55,0.274,NA,NA,"","untreated_neg","dontuse",NA,NA,9,8,8,NA,NA,NA,4,NA,NA,NA,"",0.535,0.107849829351536,0.132211538461538,0.104580152671756,NA,0.114880506828277,NA,NA,NA,NA,NA,NA,NA,NA,"no"
31,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",18,35,33,"",4.055,3.75,2.79,-30.44,42.93,0.688039457459926,10.5869297163995,3.21,2.45,2.81,0.347,0.315,0.352,NA,NA,"","treated_plus","good",NA,NA,32,19,32,NA,NA,NA,45,NA,6,4,"",0.5035,0.10809968847352,0.128571428571429,0.125266903914591,NA,0.120646006986513,18.6827956989247,1285.09,1331.86,46.77,"NF","#VALUE!",9354,0,"no"
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,6,"",3.48,0.98,2.01,-29.54,40.93,0.577586206896552,11.7614942528736,2.01,2.87,2.32,0.258,0.21,0.183,NA,NA,"","untreated_plus","good",NA,NA,10,10,8,NA,NA,NA,3,NA,NA,NA,"",0.41275,0.128358208955224,0.0731707317073171,0.0788793103448276,NA,0.0934694170024562,55.9139784946237,1250.15,1281.27,31.12,"NF","#VALUE!",6224,0,"no"
33,9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",13,19,19,"",3.287,1.17,2.75,-29.59,42.44,0.836629145117128,12.9114694250076,2.82,1.62,1.74,0.262,0.137,0.178,NA,NA,"","treated_neg","good",NA,NA,21,12,16,NA,NA,NA,20,NA,NA,6,"",0.39425,0.0929078014184397,0.0845679012345679,0.102298850574713,NA,0.0932581844092401,53.3602150537634,1285.92,1334.17,48.25,"NF","#VALUE!",9650,0,"no"
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,"",NA,NA,NA,NA,NA,NA,NA,1.69,2.94,2.75,0.206,0.283,0.216,NA,NA,"","treated_controlplus","dontuse",NA,NA,9,6,8,NA,NA,NA,3,NA,NA,NA,"",0.42625,0.12189349112426,0.0962585034013605,0.0785454545454545,NA,0.0988991496903585,NA,NA,NA,NA,NA,NA,NA,NA,"no"
35,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,24,19,"",3.561,0.51,1.72,-29.92,44.1,0.483010390339792,12.3841617523168,1.9,3.17,2.73,0.242,0.288,0.259,NA,NA,"","treated_plus","good",NA,NA,20,11,18,NA,NA,NA,28,NA,2,7,"",0.44725,0.127368421052632,0.0908517350157729,0.0948717948717949,NA,0.104363983646733,62.2311827956989,1321.02,1365.69,44.67,"NF","#VALUE!",8934,0,"no"
35,16,16,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,24,19,"",3.561,0.51,1.72,-29.92,44.1,0.483010390339792,12.3841617523168,1.9,3.17,2.73,0.242,0.288,0.259,NA,NA,"","treated_plus","good",NA,NA,20,11,18,NA,NA,NA,28,NA,2,7,"",0.44725,0.127368421052632,0.0908517350157729,0.0948717948717949,NA,0.104363983646733,62.2311827956989,1321.02,1365.69,44.67,"NF","#VALUE!",8934,0,"no"
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,10,"",NA,NA,NA,NA,NA,NA,NA,3.34,3.27,3,0.332,0.307,0.261,NA,NA,"","treated_plus","weak",NA,NA,11,10,9,NA,NA,NA,4,NA,NA,NA,"",0.475,0.0994011976047904,0.0938837920489297,0.087,NA,0.0934283298845734,NA,NA,NA,NA,NA,NA,NA,NA,"no"
37,22,NA,1,NA,0,4,4,1,"","9/16/17","10/7/17",24,61,48,"",NA,4.585,NA,-29.87,NA,1.0732759029967,11.458544997911,5.14,4.69,4.17,0.431,0.447,0.414,NA,NA,"","untreated_neg","good",NA,NA,51,22,46,NA,NA,NA,95,NA,4,8,"",0.573,0.083852140077821,0.0953091684434968,0.0992805755395683,NA,0.0928139613536287,7.45967741935483,1234.33,1273.89,39.56,"0.061","0.09109618",7912,0.001,"no"
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,8,"",NA,NA,NA,NA,NA,NA,NA,2.49,1.48,1.57,0.254,0.153,0.23,NA,NA,"","untreated_plus","weak",NA,NA,9,7,9,NA,NA,NA,3,NA,NA,1,"",0.40925,0.102008032128514,0.103378378378378,0.146496815286624,NA,0.117294408597839,NA,NA,NA,NA,NA,NA,NA,NA,"no"
39,14,NA,1,1,0,2,3,2,"","9/15/17","10/7/17",10,21,19,"",3.716,1.47,3.36,-29.47,41.81,0.904198062432723,11.251345532831,3.91,5.85,1.69,0.44,0.604,0.192,NA,NA,"","controlNeg","good",NA,NA,21,12,16,NA,NA,NA,19,NA,2,4,"",0.559,0.112531969309463,0.103247863247863,0.113609467455621,NA,0.109796433337649,49.3279569892473,1245.12,1292.77,47.65,"NF","#VALUE!",9530,0,"no"
40,19,11,0.421052632,NA,0,1,1,1,"","9/16/17","10/28/17",28,74,60,"y",3.294,4.41,5,-28.47,41.98,1.51791135397693,12.7443837279903,6.48,6.28,2.67,0.8,0.88,0.454,NA,NA,"","treated_plus","good",NA,NA,74,29,57,NA,NA,NA,123,NA,1,8,"",0.7835,0.123456790123457,0.140127388535032,0.170037453183521,NA,0.144540543947336,9.81182795698924,1244.89,1287.76,42.87,"0.052","0.07807553",8574,0.001,"no"
41,12,12,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",10,31,27,"y",NA,0.985,NA,-30.33,NA,0.792535614472321,11.2862772960098,2.92,2.08,2.2,0.315,0.268,0.259,NA,NA,"","treated_neg","good",NA,NA,26,15,23,NA,NA,NA,38,NA,NA,18,"",0.4605,0.107876712328767,0.128846153846154,0.117727272727273,NA,0.118150046300731,55.8467741935484,1304.48,1340.68,36.2,"NF","#VALUE!",7240,0,"no"
42,10,10,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",11,33,33,"y",2.948,0.47,3.33,-30.09,46.83,1.12957937584803,15.8853459972863,2.19,1.79,2.36,0.378,0.356,0.312,NA,NA,"","controlplus","good",NA,NA,32,16,30,NA,NA,NA,43,NA,NA,18,"",0.5115,0.172602739726027,0.198882681564246,0.132203389830508,NA,0.167896270373594,62.7688172043011,1307.39,1346.36,38.97,"NF","#VALUE!",7794,0,"no"
