"plant","num_leaf_segments","num_uninfected","perc_infected","blackSpore","Undifilum","unk_infections","notAlfuInfected","morphospecies_not_counting_Undifilum","notes","startCulturedate","endCultureDate","Height","Width","Length","Flowering.","Weight.mg.","d15N....vs..air.","wt...N","d13C....vs..VPDB.","wt...C","percN","percC","m1","m2","m3","a1","a2","a3","m4","a4","X","treament","status","DateFlowering","DateFruiting","width","height","length","vol","X.Fl_Stems_atCollectionTime","X.Fl_stemsEndOfYear","X.LeavesCollection","X.LeavesEndofYear","lvs_with_herbivory","lvs_with_fungus","blackdotFungusPresence","leafarea_avg","sla_1","sla_2","sla_3","sla_4","sla_avg","ndfa","tube_before","tube_after","sample_mg","Calculated.amount","top","bottom","X..Swainsonine","treatment_failed"
43,13,13,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,18,15,"",3.651,1.2,2.57,-30.75,42.92,0.703916735141057,11.755683374418,3.91,4.02,2.4,0.36,0.435,0.262,NA,NA,"","untreated_neg","good",NA,NA,18,12,14,NA,NA,NA,11,NA,NA,2,"",0.51425,0.0920716112531969,0.108208955223881,0.109166666666667,NA,0.103149077714581,52.9569892473118,1302.6,1338.67,36.07,"NF","#VALUE!",7214,0,"no"
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,36,27,"",NA,NA,NA,NA,NA,NA,NA,1.48,5.01,1.12,0.312,0.609,0.288,NA,NA,"","treated_plus","good",NA,NA,38,17,23,NA,NA,NA,24,NA,NA,4,"",0.55225,0.210810810810811,0.121556886227545,0.257142857142857,NA,0.196503518060404,NA,NA,NA,NA,NA,NA,NA,NA,"no"
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,25,25,"",NA,NA,NA,NA,NA,NA,NA,2.99,1.92,3.19,0.314,0.34,0.429,NA,NA,"","untreated_plus","good",NA,NA,24,13,24,NA,NA,NA,19,NA,NA,9,"",0.52075,0.105016722408027,0.177083333333333,0.13448275862069,NA,0.138860938120683,NA,NA,NA,NA,NA,NA,NA,NA,"no"
46,14,14,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,26,23,"",3.543,1.6,2.56,-29.46,42.58,0.722551510019757,12.0180637877505,3.8,NA,NA,0.367,NA,NA,NA,NA,"","treated_neg","good",NA,NA,21,12,28,NA,NA,NA,14,NA,NA,4,"",NA,0.0965789473684211,NA,NA,NA,0.0965789473684211,47.5806451612903,1249.25,1296.15,46.9,"NF","#VALUE!",9380,0,"no"
47,17,6,0.647058824,NA,11,NA,0,NA,"white fuzzy, some black spore contam","9/16/17","10/28/17",12,26,25,"",3.314,0.92,2.84,-30.02,42.37,0.856970428485214,12.7851538925769,5.53,5.29,3.14,0.592,0.64,0.382,NA,NA,"","treated_plus","good",NA,NA,22,18,20,NA,NA,NA,24,NA,NA,10,"",0.6535,0.107052441229656,0.120982986767486,0.121656050955414,NA,0.116563826317519,56.7204301075269,1293.79,1335.65,41.86,"4.757","7.13483717",8372,0.085,"no"
48,7,2,0.714285714,NA,0,5,5,NA,"tan fuzzy","9/17/17","10/28/17",11,13,11,"",3.918,1.43,2.74,-30.18,42.73,0.69933639612047,10.9060745278203,3.05,3.2,3.89,0.387,0.295,0.41,NA,NA,"","treated_controlplus","good",NA,NA,13,13,12,NA,NA,NA,7,NA,NA,1,"",0.523,0.126885245901639,0.0921875,0.105398457583548,NA,0.108157067828396,49.8655913978495,1250.09,1276.85,26.76,"2.716","4.07446168",5352,0.076,"no"
49,9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",12,37,29,"",3.384,3.07,3.48,-29.68,43.69,1.02836879432624,12.910756501182,2.54,2.9,2.82,0.4,0.413,0.408,NA,NA,"","treated_neg","good",NA,NA,29,12,28,NA,NA,NA,28,NA,2,6,"",0.55525,0.15748031496063,0.142413793103448,0.14468085106383,NA,0.148191653042636,27.8225806451613,1233,1280.4,47.4,"NF","#VALUE!",9480,0,"no"
50,13,3,0.769230769,NA,10,NA,0,NA,"fuzzy not as white","","10/7/17",8,12,8,"",NA,1.56,NA,-29.7,NA,0.866459455052506,12.3973596488721,3.02,3.45,3.8,0.386,0.328,0.412,NA,NA,"","untreated_plus","good",NA,NA,11,10,11,NA,NA,NA,5,NA,NA,NA,"",0.5315,0.127814569536424,0.0950724637681159,0.108421052631579,NA,0.110436028645373,48.1182795698925,1320.98,1346.97,25.99,"1.841","2.76163868",5198,0.053,"no"
51,10,10,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,24,22,"",3.817,1.22,3.12,-30.44,43.16,0.817395860623526,11.3073094052921,1.77,2.02,2.31,0.304,0.346,0.382,NA,NA,"","untreated_neg","good",NA,NA,19,13,18,NA,NA,NA,27,NA,1,6,"",0.508,0.171751412429379,0.171287128712871,0.165367965367965,NA,0.169468835503405,52.6881720430108,1250.31,1301.56,51.25,"NF","#VALUE!",10250,0,"no"
52,9,8,0.111111111,1,0,NA,1,1,"","9/16/17","10/7/17",18,47,39,"y",3.769,3.54,3.51,-29.8,43.59,0.931281507031043,11.5654019633855,2.12,2.88,2.26,0.357,0.388,0.415,NA,NA,"","untreated_neg","good",NA,NA,32,15,26,NA,NA,NA,62,NA,1,10,"yes",0.54,0.168396226415094,0.134722222222222,0.183628318584071,NA,0.162248922407129,21.505376344086,1311.94,1357.85,45.91,"NF","#VALUE!",9182,0,"no"
53,9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",9,22,18,"",3.199,2.41,2.52,-30.6,41.2,0.787746170678337,12.8790246952173,1.78,1.45,2.01,0.274,0.185,0.231,NA,NA,"","untreated_neg","good",NA,NA,19,13,18,NA,NA,NA,23,NA,NA,7,"",0.4225,0.153932584269663,0.127586206896552,0.114925373134328,NA,0.132148054766848,36.6935483870968,1303.79,1331.07,27.28,"NF","#VALUE!",5456,0,"no"
54,9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",12,27,19,"",3.778,0.62,2.81,-30.11,45.85,0.743779777660138,12.13605082054,1.38,2.84,1.51,0.238,0.36,0.191,NA,NA,"","treated_controlneg","good",NA,NA,25,12,18,NA,NA,NA,30,NA,NA,10,"yes",0.44725,0.172463768115942,0.126760563380282,0.126490066225166,NA,0.141904799240463,60.752688172043,1233.95,1261.9,27.95,"NF","#VALUE!",5590,0,"no"
55,12,0,1,NA,12,NA,0,NA,"Sequenced this Alfu","9/16/17","10/28/17",8,8,5,"",3.046,1.62,4.18,-30.57,43.42,1.37229152987525,14.2547603414314,2.78,3.03,3.2,0.316,0.374,0.309,NA,NA,"","controlplus","good",NA,NA,11,9,9,NA,NA,NA,6,NA,1,NA,"",0.49975,0.113669064748201,0.123432343234323,0.0965625,NA,0.111221302660842,47.3118279569892,1250.03,1265.5,15.47,"2.890","4.33554443",3094,0.14,"no"
55,12,NA,1,12,NA,NA,12,NA,"bright white","9/17/17","10/7/17",8,8,5,"",3.046,1.62,4.18,-30.57,43.42,1.37229152987525,14.2547603414314,2.78,3.03,3.2,0.316,0.374,0.309,NA,NA,"","controlplus","good",NA,NA,11,9,9,NA,NA,NA,6,NA,1,NA,"",0.49975,0.113669064748201,0.123432343234323,0.0965625,NA,0.111221302660842,47.3118279569892,1250.03,1265.5,15.47,"2.890","4.33554443",3094,0.14,"no"
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,19,15,"",NA,NA,NA,NA,NA,NA,NA,2.28,2.96,2.73,0.308,0.363,0.38,NA,NA,"","controlplus","good",NA,NA,15,9,10,NA,NA,NA,13,NA,NA,NA,"",0.51275,0.135087719298246,0.122635135135135,0.139194139194139,NA,0.132305664542507,NA,1307.77,1334.61,26.84,"0.334","0.50150421",5368,0.009,"no"
57,14,14,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",12,27,17,"",3.588,0.88,3.56,-29.99,45.72,0.992196209587514,12.742474916388,2.78,2.39,2.65,0.356,0.407,0.371,NA,NA,"","untreated_plus","good",NA,NA,25,14,14,NA,NA,NA,29,NA,1,4,"yes",0.5335,0.128057553956835,0.170292887029289,0.14,NA,0.146116813662041,57.258064516129,1244.25,1294.23,49.98,"NF","#VALUE!",9996,0,"no"
58,11,11,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",11,17,17,"",3.986,3.16,2.7,-30.67,42.81,0.677370797792273,10.7400903161064,2.56,0.5,NA,0.313,0.132,NA,NA,NA,"","treated_neg","good",NA,NA,18,13,13,NA,NA,NA,15,NA,NA,9,"",NA,0.122265625,0.264,NA,NA,0.1931328125,26.6129032258064,1244.93,1269.13,24.2,"NF","#VALUE!",4840,0,"no"
59,11,11,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,18,14,"",2.994,1.69,2.52,-30.89,43.02,0.841683366733467,14.3687374749499,1.02,1.18,1.88,0.186,0.276,0.24,NA,NA,"","treated_neg","good",NA,NA,16,20,14,NA,NA,NA,21,NA,1,10,"",0.4255,0.182352941176471,0.233898305084746,0.127659574468085,NA,0.181303606909767,46.3709677419355,1233.66,1260.33,26.67,"NF","#VALUE!",5334,0,"no"
60,14,14,0,NA,0,NA,0,0,"","9/16/17","10/28/17",11,22,15,"",3.259,1.16,2.12,-30.9,41.59,0.65050629027309,12.7615833077631,1.7,1.62,1.8,0.218,0.314,0.342,NA,NA,"","controlNeg","good",NA,NA,19,14,18,NA,NA,NA,17,NA,2,NA,"",0.4685,0.128235294117647,0.193827160493827,0.19,NA,0.170687484870491,53.494623655914,1303.64,1331.93,28.29,"NF","#VALUE!",5658,0,"no"
61,19,19,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",11,37,33,"y",3.628,1.04,3.21,-30.68,41.5,0.884785005512679,11.438809261301,0.96,0.84,2.11,0.195,0.162,0.308,NA,NA,"","treated_neg","good",NA,NA,32,15,26,NA,2,NA,37,NA,3,10,"",0.41625,0.203125,0.192857142857143,0.145971563981043,NA,0.180651235612729,55.1075268817204,1315.86,1363.97,48.11,"NF","#VALUE!",9622,0,"no"
61,19,19,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",11,37,33,"y",2.84,0.82,3.22,-30.54,40.52,1.13380281690141,14.2676056338028,0.96,0.84,2.11,0.195,0.162,0.308,NA,NA,"","treated_neg","good",NA,NA,32,15,26,NA,2,NA,37,NA,3,10,"",0.41625,0.203125,0.192857142857143,0.145971563981043,NA,0.180651235612729,58.0645161290322,1315.86,1363.97,48.11,"NF","#VALUE!",9622,0,"no"
62,13,12,0.076923077,NA,0,1,1,1,"","9/16/17","10/28/17",19,28,27,"",3.52,1.07,2.1,-29,41.91,0.596590909090909,11.90625,3.23,2.78,1.6,0.51,0.446,0.243,NA,NA,"","untreated_plus","good",NA,NA,27,15,20,NA,NA,NA,25,NA,2,NA,"",0.54975,0.157894736842105,0.160431654676259,0.151875,NA,0.156733797172788,54.7043010752688,1249.07,1285.62,36.55,"NF","#VALUE!",7310,0,"no"
63,16,16,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",28,45,25,"",3.71,-1.18,2.67,-30.75,43.38,0.719676549865229,11.6927223719677,5.21,3.41,4.15,0.517,0.356,0.418,NA,NA,"","treated_neg","good",NA,NA,35,19,18,NA,NA,NA,38,NA,3,NA,"",0.57275,0.099232245681382,0.104398826979472,0.100722891566265,NA,0.10145132140904,84.9462365591398,1286.42,1321.77,35.35,"NF","#VALUE!",7070,0,"no"
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,10,"",NA,NA,NA,NA,NA,NA,NA,3.46,2.68,3.52,0.58,0.46,0.439,NA,NA,"","untreated_plus","weak",NA,NA,12,11,10,NA,NA,NA,5,NA,2,NA,"",0.61975,0.167630057803468,0.171641791044776,0.124715909090909,NA,0.154662585979718,NA,NA,NA,NA,NA,NA,NA,NA,"no"
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13,7,"",NA,NA,NA,NA,NA,NA,NA,4.23,2.93,3.44,0.347,0.289,0.364,NA,NA,"","untreated_plus","weak",NA,NA,13,10,13,NA,NA,NA,5,NA,NA,NA,"",0.5,0.0820330969267139,0.0986348122866894,0.105813953488372,NA,0.0954939542339251,NA,NA,NA,NA,NA,NA,NA,NA,"no"
66,12,0,1,NA,12,NA,0,NA,"","9/16/17","10/7/17",11,23,21,"",3.745,1.27,2.69,-30.2,41.6,0.718291054739653,11.1081441922563,4.83,3.41,5.77,0.527,0.375,0.496,NA,NA,"","treated_plus","good",NA,NA,17,11,11,NA,NA,NA,12,NA,2,NA,"",0.5995,0.109109730848861,0.109970674486804,0.0859618717504333,NA,0.101680759028699,52.0161290322581,1311.23,1354.9,43.67,"5.505","8.25675557",8734,0.095,"no"
67,12,0,1,NA,12,NA,0,NA,"","9/16/17","10/7/17",7,19,18,"",3.762,2.47,3.38,-30.32,41.81,0.89845826687932,11.113769271664,4.37,3.18,2.79,0.624,0.394,0.361,NA,NA,"","treated_neg","good",NA,NA,17,12,14,NA,NA,NA,10,NA,1,NA,"",0.59475,0.14279176201373,0.123899371069182,0.129390681003584,NA,0.132027271362166,35.8870967741935,1297.53,1318.39,20.86,"3.217","4.82566005",4172,0.116,"yes"
68,16,16,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",19,46,49,"y",3.794,-1.04,4.88,-29.4,44.98,1.28624143384291,11.855561412757,2.28,4.39,1.36,0.372,0.679,0.28,NA,NA,"","untreated_plus","good",NA,NA,51,22,37,NA,NA,NA,67,NA,4,19,"",0.58275,0.163157894736842,0.154669703872437,0.205882352941176,NA,0.174569983850152,83.0645161290323,1304.12,1350.4,46.28,"0.166","0.24894827",9256,0.003,"no"
69,16,16,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",14,46,31,"y",3.652,4.44,4.41,-28.86,44.1,1.20755750273823,12.0755750273823,5.07,1.41,0.98,0.664,0.169,0.147,NA,NA,"","untreated_neg","good",NA,NA,36,17,32,NA,NA,NA,74,NA,4,18,"",0.495,0.130966469428008,0.119858156028369,0.15,NA,0.133608208485459,9.40860215053763,1312.28,1361.15,48.87,"NF","#VALUE!",9774,0,"no"
70,10,1,0.9,NA,0,7,7,1,"tan fuzzy","9/17/17","10/28/17",23,43,42,"",3.584,4.53,4.58,-29.53,42.36,1.27790178571429,11.8191964285714,1.93,2.94,4.58,0.363,0.405,0.542,NA,NA,"","untreated_plus","good",NA,NA,43,19,40,NA,NA,NA,62,NA,5,6,"",0.5775,0.188082901554404,0.137755102040816,0.118340611353712,NA,0.148059538316311,8.19892473118279,1241.87,1290.71,48.84,"3.485","5.22715517",9768,0.054,"no"
71,11,11,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",11,25,23,"",3.374,0.48,3.27,-29.98,46.47,0.969176052163604,13.7729697688204,3,2.89,1.7,0.32,0.301,0.226,NA,NA,"","untreated_neg","good",NA,NA,22,17,21,NA,NA,NA,30,NA,1,3,"",0.46175,0.106666666666667,0.104152249134948,0.132941176470588,NA,0.114586697424068,62.6344086021506,1303.44,1357.4,53.96,"NF","#VALUE!",10792,0,"no"
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","10/7/17",20,33,29,"",3.659,1.37,4.46,-28.84,44.53,1.21891227111233,12.1699918010385,3.1,4.18,1.86,0.355,0.469,0.229,NA,NA,"","treated_neg","good",NA,NA,26,17,23,NA,NA,NA,39,NA,2,10,"",0.51325,0.114516129032258,0.112200956937799,0.123118279569892,NA,0.116611788513317,50.6720430107527,1245.21,1276.73,31.52,"NF","#VALUE!",6304,0,"no"
73,9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",16,21,21,"",3.795,-0.09,2.96,-30.15,44.86,0.779973649538867,11.8208168642951,4.06,3.06,2.8,0.333,0.292,0.255,NA,NA,"","controlNeg","good",NA,NA,17,15,15,NA,NA,NA,13,NA,NA,NA,"",0.47,0.0820197044334976,0.0954248366013072,0.0910714285714286,NA,0.0895053232020778,70.2956989247312,1249.56,1288.23,38.67,"NF","#VALUE!",7734,0,"no"
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,18,16,"",NA,2.555,NA,-30.025,NA,0.852251005207303,11.6724086158533,2.15,3.9,1.88,0.328,0.589,0.286,NA,NA,"","treated_neg","good",NA,NA,20,15,10,NA,NA,NA,22,NA,1,1,"",0.55075,0.152558139534884,0.151025641025641,0.152127659574468,NA,0.151903813378331,34.744623655914,1244.58,1284.62,40.04,"NF","#VALUE!",8008,0,"no"
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,23,20,"",NA,NA,NA,NA,NA,NA,NA,2.85,2.27,2.17,0.341,0.26,0.301,NA,NA,"","treated_neg","good",NA,NA,23,9,19,NA,NA,NA,24,NA,NA,9,"",0.4755,0.119649122807018,0.114537444933921,0.138709677419355,NA,0.124298748386764,NA,NA,NA,NA,NA,NA,NA,NA,"no"
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,21,19,"",3.267,0.81,3.76,-30.43,44.33,1.15090296908479,13.5690235690236,1.67,1.52,3.06,0.267,0.188,0.282,NA,NA,"","untreated_neg","good",NA,NA,18,11,15,NA,NA,NA,17,NA,6,3,"",0.43425,0.159880239520958,0.123684210526316,0.092156862745098,NA,0.125240437597457,58.1989247311828,1306.06,1323.11,17.05,"NF","#VALUE!",3410,0,"no"
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,18,17,"",3.381,0.96,2.35,-30.35,41.59,0.695060632948832,12.3010943507838,1.97,1.86,1.33,0.212,0.231,0.208,NA,NA,"","controlNeg","good",NA,NA,16,11,12,NA,NA,NA,22,NA,1,4,"",0.41275,0.10761421319797,0.124193548387097,0.156390977443609,NA,0.129399579676225,56.1827956989247,1244.91,1284.27,39.36,"NF","#VALUE!",7872,0,"no"
78,10,10,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",5,18,18,"",2.986,0.78,4.74,-29.72,44.31,1.5874079035499,14.8392498325519,5.12,4.98,2.22,0.545,0.567,0.22,NA,NA,"","treated_neg","good",NA,NA,17,14,14,NA,NA,NA,9,NA,1,NA,"",0.583,0.1064453125,0.113855421686747,0.0990990990990991,NA,0.106466611095282,58.6021505376344,1233.39,1253.4,20.01,"NF","#VALUE!",4002,0,"no"
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,52,40,"y",NA,NA,NA,NA,NA,NA,NA,3.15,3.31,4.33,0.379,0.578,0.609,NA,NA,"","untreated_plus","good",NA,NA,50,21,36,NA,2,NA,141,NA,19,4,"",0.6415,0.12031746031746,0.174622356495468,0.140646651270208,NA,0.145195489361045,NA,NA,NA,NA,NA,NA,NA,NA,"no"
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,25,16,"",3.712,1.47,3.63,-30.13,44.08,0.977909482758621,11.875,1.91,2.55,1.63,0.231,0.297,0.201,NA,NA,"","treated_plus","good",NA,NA,21,12,16,NA,NA,NA,18,NA,NA,3,"",0.43225,0.120942408376963,0.116470588235294,0.123312883435583,NA,0.120241960015947,49.3279569892473,1305.47,1330.25,24.78,"NF","#VALUE!",4956,0,"no"
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"untreated_plus","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"untreated_plus","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,9,"",NA,NA,NA,NA,NA,NA,NA,4.18,2.21,3.87,0.333,0.24,0.392,NA,NA,"","treated_plus","weak",NA,NA,14,8,10,NA,NA,NA,5,NA,NA,NA,"",0.49125,0.0796650717703349,0.108597285067873,0.101291989664083,NA,0.0965181155007636,NA,NA,NA,NA,NA,NA,NA,NA,"no"
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"untreated_plus","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treated_neg","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
86,9,NA,1,NA,9,NA,0,NA,"","9/17/17","10/7/17",10,26,23,"",3.461,0.97,2.66,-29.88,43.38,0.768563998844265,12.5339497255129,1.82,2.96,2.02,0.2,0.33,0.189,NA,NA,"","treated_neg","good",NA,NA,28,14,23,NA,NA,NA,33,NA,NA,8,"",0.42975,0.10989010989011,0.111486486486486,0.0935643564356436,NA,0.10498031760408,56.0483870967742,1311.9,1353.86,41.96,"6.125","9.18731010",8392,0.109,"yes"
87,9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",18,60,49,"y",NA,NA,NA,NA,NA,NA,NA,3.22,2.58,2.47,0.399,0.347,0.334,NA,NA,"","treated_neg","good",NA,NA,69,25,40,NA,4,NA,126,NA,9,37,"",0.52,0.123913043478261,0.134496124031008,0.135222672064777,NA,0.131210613191349,NA,NA,NA,NA,NA,NA,NA,NA,"no"
88,9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",12,229,26,"",3.705,1.99,2.66,-29.29,43.07,0.717948717948718,11.6248313090418,4.03,3.28,2.2,0.432,0.332,0.27,NA,NA,"","untreated_plus","good",NA,NA,29,17,22,NA,NA,NA,33,NA,7,8,"",0.5085,0.107196029776675,0.101219512195122,0.122727272727273,NA,0.110380938233023,42.3387096774194,1304.38,1326.74,22.36,"NF","#VALUE!",4472,0,"no"
